correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks some key details from the reference answer, such as the specific cap on the Franc's value versus the Euro.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Imagine you have a special toy you really want, but it's super popular, and everyone is trying to trade their toys for i",9408
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and analogies, making it somewhat clear for a novice, although it fails to address the key points in the reference answer about extracting and adding caffeine to coffee beans.",How is over-caffeinated coffee made?,Imagine coffee beans are like tiny magic beans that have a special ingredient called caffeine inside.  This caffeine mak,13545
6,4,8,6,"The generated answer uses a good analogy but lacks key points from the reference, such as the impact of glycemic spikes and processing nasty ingredients, resulting in lower correctness and completeness scores.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Imagine you have a big box of LEGOs, but you only want to build with them on Saturday and Sunday.  Even though you only ",27527
8,6,9,8,"The generated answer effectively uses a simple LEGO analogy to explain abstract math's role in computing, but lacks depth in covering the historical aspect and the concept of math laying groundwork for science.","Why does abstract math have so much history and application to computing, but computers are so new?",Imagine you have a big box of LEGOs. You can build anything you want with them! Abstract math is like having a special s,4866
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference, such as the impact of cylinder aspect ratio, piston weight, and valve timing on engine performance.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,"Imagine you have two toy cars, one is a big, strong truck and the other is a tiny little car.  The truck can carry lots ",25847
6,4,8,6,The generated answer uses a simple and clear analogy but lacks factual accuracy and completeness in addressing the unemployment rate for teens and young adults in the US.,Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"Imagine there are lots of toy cars in a big box.  Sometimes, not all the cars get played with because there are too many",12540
2,1,8,3,"The generated answer lacks factual accuracy and completeness, but uses simple language and good analogies, making it somewhat suitable for a novice audience.",What is the purpose of the sewn on loop on a seat belt?,"Imagine your seat belt is like a strong, special rope that keeps you safe in your car. The loop is like a special handle",5816
2,2,8,4,"The generated answer lacks factual accuracy and completeness in explaining why wild animals' mouths smell bad, but it uses a simple and engaging analogy to convey a vague idea.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Imagine your mouth is like a playground. Humans have lots of different kinds of friends to play with, like good bacteria",6411
6,4,8,6,"The generated answer is engaging and simple, but lacks key points from the reference, such as the importance of habit and reinforcement of good behavior, and contains some inaccurate implications about the dog's perception of toilet water freshness.","Why do dogs drink out of the toilet, even though you give them fresh water?","Dogs are like little water detectives! They love water and need to drink lots, just like you need to drink your milk. So",7965
8,6,9,8,"The generated answer is mostly correct, complete in its simplicity, and of high ELI5 quality, but lacks some details from the reference answer about the mechanism of stimulants like caffeine.",How do zero calorie energy drinks work?,"Imagine you have a toy car that makes a roaring sound, but it doesn't actually move. That's kind of like zero-calorie en",2782
8,6,9,8,"The generated answer is mostly correct, provides a good analogy for a novice, but lacks completeness in addressing the incentive aspect mentioned in the reference answer.",Why is the sound quality at a drive through so bad?,"Imagine you're at a drive-through, and you're trying to hear the person taking your order.  They have a loud speaker, li",17821
6,2,8,5,"The generated answer is simple and easy to understand but lacks key points from the reference answer, such as the target market and pricing model, and contains oversimplifications like comparing Adobe products to a robot.",why are adobe products so expensive?,Adobe products are like a super cool robot that can do amazing things with pictures and videos! It takes a long time and,1461
6,4,8,6,"The generated answer is simple and uses good analogies, but it lacks factual accuracy and completeness in explaining why watered-down drinks taste disgusting, relying on an oversimplified explanation that water makes everything taste weaker.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Imagine your tongue is like a little taste detector, with tiny bumps called taste buds that help you find different flav",19135
