correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
2,2,6,3,"The generated answer lacks factual accuracy and completeness, but attempts to use simple language and analogies, although it fails to effectively convey the actual reason behind the Swiss National Bank's decision.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,The Swiss National Bank is buying other currencies in unlimited quantities because it wants to be in charge. It's like i,9408
2,1,8,3,"The generated answer lacks factual accuracy and completeness, failing to address the motivations and context of uploading or seeding torrents as described in the reference answer.",What do people gain from uploading or seeding torrents?,"People gain by sharing files without relying on big servers, which means less data center usage and more money in their ",21482
2,1,8,3,"The generated answer introduces incorrect information about leukoplakia and its causes, failing to correctly identify the white bumps as potentially irritated taste buds as mentioned in the reference answer.",White bumps on our tongue and how we get them?,"So, you know how sometimes your tongue feels funny and it looks a little yellowish? That's because of something called l",18416
6,4,8,6,"The generated answer is simple and uses good analogies, but lacks factual accuracy and completeness in covering the key points of how abstract math laid the groundwork for science and computing.","Why does abstract math have so much history and application to computing, but computers are so new?","Computers have been around for a long time, but abstract math was used to help them work better. It's like using a toy b",4866
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to address the key point of no need for sending information back to the server in television, but it uses simple language and analogies to explain the concept of internet connections.","How can an HD television signal be beamed into my home and received with nothing more than an antenna, but internet vide","To get high-speed internet video, you need a special kind of connection called a cable connection. It's like a special h",15021
8,6,9,7,"The generated answer is mostly correct, easy to understand, and promotes a positive message, but lacks specific details about racism towards white people as mentioned in the reference answer.",Is there racism toward white people?,"Racism is a big problem that can affect anyone, no matter their skin color. It's not just about being mean, it's about b",19819
6,2,8,4,"The generated answer lacks key points from the reference, such as the purpose of reducing rattling and preventing the buckle from sliding, but uses simple language and a clear analogy to explain the general concept of safety.",What is the purpose of the sewn on loop on a seat belt?,"The sewn on loop on a seat belt helps keep the lap belt in place, keeps you safe, and prevents injuries during sudden st",5816
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference, such as the comparison to human oral hygiene habits, and introduces an inaccurate analogy about super-powerful vacuum cleaners.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?",Wild animals have special mouths that help them eat their favorite foods. Their mouths are like super-powerful vacuum cl,6411
6,4,8,6,"The generated answer is partially correct and easy to understand, but lacks key points from the reference, such as the importance of habit and reinforcement of good behavior.","Why do dogs drink out of the toilet, even though you give them fresh water?",Dogs like to drink from water because they're naturally curious and want to find the best spot to quench their thirst. E,7965
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to explain how zero-calorie energy drinks work, but uses simple language and analogies to engage the reader.",How do zero calorie energy drinks work?,"Hey kiddo, you know how sometimes you drink a sweet drink and feel happy and full? That's because it has something calle",2782
4,2,8,5,"The generated answer lacks factual accuracy and completeness in explaining the naming conventions of stars and planets, but it uses simple language and analogies suitable for a novice audience.",Why are stars and planets named so strangely?,"Hey kids! So, you know how we have names for cars, dogs, and even our favorite sports teams? Well, stars and planets hav",17013
6,4,8,6,"The generated answer uses simple language and good analogies, but lacks key points from the reference answer, such as Adobe's target market and pricing strategy, resulting in a moderately correct and incomplete explanation.",why are adobe products so expensive?,Adobe's big team and super cool features make their products really expensive. It's like building a really cool Lego cas,1461
6,4,8,6,"The generated answer is engaging and simple, but lacks key points from the reference, such as the role of salts in reducing the freezing point, and includes some vague statements about water vapor and secret history.",How can there be flowing water on mars when the temperature is so low?,"Hey, you know how sometimes it's really cold outside and you can see your breath? Well, on Mars, it's even colder than t",13223
2,1,6,3,"The generated answer lacks factual accuracy, fails to cover key points, and provides a misleading analogy, but attempts to use simple language and relatable concepts.","What is the difference between watts, volts and amps? Amp hours?",Amp hours is like a meter that measures how much energy a device uses over time. It's like a coin that counts the number,5483
6,4,8,6,"The generated answer uses a simple analogy but fails to accurately address the question about time statistics and mortality rates, lacking key points from the reference answer.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,Imagine you have a lemonade stand. You want to know how many cups of lemonade you sell per day. You count 20 cups each d,6140
8,2,9,6,"The generated answer is factually mostly accurate and explains the concept in simple terms, but lacks completeness in addressing the political aspects and skepticism mentioned in the reference answer.",Can someone please convince me that Global Warming is real?,"Global Warming is real! It's like a big blanket that's wrapping around our Earth, making it get warmer. It's because of ",13018
4,6,7,5,"The generated answer contains some accurate information but also includes incorrect or misleading details, such as the use of 'peeels' and 'withdrawal methods' to get pregnant, which detracts from its overall quality and accuracy.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"In pre-modern times, women used some pretty creative ways to prevent getting pregnant. Some brothels even had special 'p",795
2,1,6,3,"The generated answer is incorrect and incomplete, introducing hallucinations about special water molecules, but attempts to use a simple analogy, albeit poorly executed.",Why is there ice in the mens urinals,"Urine Has Ice Because of Special Water Molecules

Imagine You Have a Toy Car, and You Fill It with Water. If You Put It ",2054
