correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
6,4,8,6,"The generated answer uses a simple and clear analogy but lacks key points from the reference, such as the reason behind the Swiss National Bank's decision and the impact of a strong Swiss Franc on the economy.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Alright, let's imagine you have a big toy store, and you're the boss. Now, there's a special toy called ""Swiss Francs"" t",9408
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple and engaging language, making it a poor explanation of how over-caffeinated coffee is made.",How is over-caffeinated coffee made?,"Once upon a time, in a land of yummy treats, there was a magical potion called coffee. This potion was made from a speci",13545
8,6,9,8,"The generated answer is mostly correct, complete, and of high ELI5 quality, but lacks direct mention of the glycemic spike and processing of nasty ingredients, which are key points in the reference answer.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Alright, little one, let's talk about something fun, like playing a game called ""Eating Food Monster."" Imagine there's a",27527
9,8,9,9,"The generated answer accurately conveys the relationship between abstract math and computing, using simple language and relatable analogies, while mostly covering key points from the reference answer.","Why does abstract math have so much history and application to computing, but computers are so new?","Once upon a time, long before computers were even a twinkle in someone's eye, there were clever people who loved to play",4866
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks some key points from the reference, such as cylinder aspect ratio and engine displacement, which are crucial for explaining horsepower variation.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,"Once upon a time, in a big workshop, there were two toy car builders named Jack and Jill. They both wanted to make the f",25847
6,7,9,7,"The generated answer effectively uses simple language and analogies to explain the concept, but lacks direct discussion of government influence and control over the unemployment rate as mentioned in the reference answer.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"Once upon a time, in a big country called the United States, there was a big game called the ""Job Market."" In this game,",12540
2,2,8,4,"The generated answer is creative and simple, but lacks factual accuracy and completeness, failing to address the actual purposes of the sewn-on loop on a seat belt.",What is the purpose of the sewn on loop on a seat belt?,"Once upon a time, when you were a baby, you had a special toy called a rattle. Remember how you loved to shake it and he",5816
8,6,9,8,"The generated answer is mostly correct, easy to understand, and uses a good analogy, but lacks completeness in explaining the specific reason for the bad smell, such as food particles getting stuck between teeth.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Alright, let's imagine you have a favorite teddy bear, and you love to give it a big hug every day. Now, imagine if you ",6411
6,4,8,6,"The generated answer is creative and easy to understand, but lacks factual accuracy and completeness in addressing the dog's behavior and habits, as well as effective solutions to discourage toilet drinking.","Why do dogs drink out of the toilet, even though you give them fresh water?","Once upon a time, in a world filled with dogs and humans, there was a magical place called the ""toilet"". Now, this magic",7965
2,2,8,3,"The generated answer lacks factual accuracy and completeness regarding how zero-calorie energy drinks work, focusing instead on the sweeteners used, but it does use simple language and analogies suitable for a novice.",How do zero calorie energy drinks work?,"Once upon a time, in a magical land called the Kitchen, there was a magical potion called an energy drink. This drink ga",2782
8,6,9,8,"The generated answer is mostly correct, provides a good analogy for a novice, but lacks completeness in covering the key point about the lack of incentive to improve sound quality.",Why is the sound quality at a drive through so bad?,"Once upon a time, there was a magical box called a drive-through. It was a magical place where you could get yummy food ",17821
6,4,8,6,"The generated answer is creative and easy to understand, but lacks key points from the reference, such as Adobe's target market and pricing strategy, and contains simplistic and inaccurate explanations of the development process.",why are adobe products so expensive?,"Once upon a time, there was a magical place called Adobe Land, where the most amazing toys were created. These toys were",1461
2,4,6,4,"The generated answer lacks factual accuracy, introduces hallucinations, and fails to cover key points from the reference, but attempts to use a simple and engaging storytelling approach.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Once upon a time, in a magical kingdom called Yumville, there lived a very special drink called Water. This drink was so",19135
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the relationship between volts, amps, and watts, and oversimplifies the concept of amp hours.","What is the difference between watts, volts and amps? Amp hours?","Once upon a time, in a magical land called Electroville, there lived three very special friends: Watt, Volt, and Amp. Th",5483
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the time interval used for sampling and contains some minor inaccuracies in its analogy.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Let's imagine you have a big jar full of colored marbles. Each marble represents a person, and the color shows how old t",6140
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but slightly overcomplicates the explanation with analogies and additional details.",Are undercover cops not a violation of the 5th amendment?,"Once upon a time, in a world just like ours, there were special people called cops. Some of these cops were undercover, ",25797
8,7,9,8,"The generated answer is mostly correct, covers key points, and uses simple language with good analogies, but introduces some minor inaccuracies and lacks direct mention of abortion-inducing herbs like Pennyroyal in the context of brothels.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"Once upon a time, in places where people went to spend money for special attention from other people, there were brothel",795
6,4,8,6,"The generated answer is creative and easy to understand, but lacks key points from the reference, such as the melting of ice producing water to flush the urinal, and contains unnecessary storytelling elements.",Why is there ice in the mens urinals,"Once upon a time, in a big, busy city, there was a fancy restaurant called ""The Ice Palace"". This restaurant was known f",2054
2,2,8,3,"The generated answer is overly simplistic, contains incorrect facts, and lacks key points from the reference, but uses engaging storytelling and analogies that could be effective for a novice audience.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"Once upon a time, there was a magical kingdom where all the people lived happily ever after. In this kingdom, there was ",10969
