sample_id,model,question,answer_A,answer_B,reference,reminder,score_A_accuracy,score_A_simplicity,score_A_completeness,score_A_clarity,score_B_accuracy,score_B_simplicity,score_B_completeness,score_B_clarity,notes
1,gemma-7b,"Why do dogs drink out of the toilet, even though you give them fresh water?","Dogs have similar water balance mechanisms to humans, so they drink water that is similar to their urine. Sometimes, if ","**Answer:**

Dogs don't drink out of the toilet, like humans. They have their own special way of drinking water. It's li",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
2,llama1b,"Why is it that when you drink water your pee become clear and thats a sign that you're hydrated, but when you drink beer","Oh boy, let's talk about pee! So, you know how sometimes you drink water and your pee is clear? That's because your body","When you drink water, it helps your kidneys filter out the bad stuff, like waste and excess water, and makes your pee cl",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
3,qwen2.5-3b,"What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Once upon a time, in a land far, far away, there lived a little mouse named Mini. Mini loved to eat yummy cheese, but on","Imagine you have a toy box. If you put all your broken toys in it for two days, your toy box gets very messy very quickl",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
4,gemma-7b,"When we eat take in a substantially low number of calories in a day, our bodies go into ""starvation mode"", which causes ","Sure, here's why your body isn't always in ""starvation mode"":

Imagine you have a piggy bank. If you put a lot of money ","When we eat a very small amount of food, our bodies go into 'starvation mode,' which means they burn fewer calories than",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
5,gemma-7b,Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"In pre-modern times, there was very little birth control used at brothels. It was rare to find effective methods, and th","Sure, there was a way for women to prevent pregnancy in pre-modern times, even at brothels. It was called ""natural metho",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
6,llama3b,How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,Imagine you have a toy box with different colored blocks inside. Each block represents a cylinder in an engine. To make ,"Imagine you have a toy box full of different kinds of cars. Each car has four wheels, but some of them are really fast, ",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
7,gemma-2-2b-it,How does Terahertz Radiation work?,"Imagine light is like a bouncy ball.  Terahertz light is like a really fast bouncy ball, it's so quick it's like a super","Once upon a time, there was a magical box called a ""Terahertz Generator."" It was like a super-duper strong flashlight, b",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
8,qwen2.5-7b,What is the purpose of the sewn on loop on a seat belt?,"Okay, little buddy! Imagine you're in a car with your favorite stuffed animal. Now, when you're in the car, you need to ",The sewn-on loop on a seat belt is like a special pocket for the buckle. It keeps the belt from slipping and makes sure ,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
9,gemma-7b,"What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Sure, here's the answer:

Eating unhealthy food, like candy or soda, is like playing with a toy car. You can have a lot ","If you eat a lot of unhealthy food called 'shitfood', it's more harmful if you eat it all on Sundays and Saturdays, comp",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
10,gemma-7b,Why do diseases only do bad things to us? Why are there no diseases/viruses that are actually GOOD for us?,"**Answer:**

Diseases are like grumpy monsters that want to steal your health. They can be like the Wicked Witch of the ",Diseases are like bad guys that exploit weaknesses in the human body. They're like toys that can win against you. But th,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
11,qwen2.5-3b,Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Once upon a time, in a magical land called Switzerland, there was a very important bank called the Swiss National Bank. ",The Swiss bank is buying lots of other money to make Swiss stuff cheaper. This helps Swiss toys and foods sell more in o,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
12,llama1b,"How does a computer processor ""turbo-boost""?","When a computer processor needs to do a lot of work, like play a super-fast game or do a lot of math, it gets a little t","Imagine you have a toy car that can go really, really fast. It's like a super speedy train! The computer processor is li",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
13,llama3b,What is the purpose of the sewn on loop on a seat belt?,"Oh boy, let's talk about seat belts! You know how we wear seat belts when we ride in cars? It's like wearing a special h",Imagine you're playing a game of tug-of-war with your friends. The sewn-on loop on a seat belt is like a special tool th,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
14,llama1b,Why are the ~5 million non-Jewish people exterminated by the Nazis often not considered part of The Holocaust and why do,"Imagine you have a big box of crayons. Each crayon represents a person, and the colors on the crayon represent their eth","The Holocaust refers to the genocide of six million Jews by the Nazis during World War II. However, the Nazis also targe",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
15,llama1b,why does the USA sell plastic bottles of Coke and Pepsi. But my local Mexican market sells it in glass?,The USA sells plastic bottles of Coke and Pepsi because it's cheaper and more widely used. But Mexico sells them in glas,Imagine you're at a big party with all your friends. You're playing a game of tag. You need a drink to play the game. Yo,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
16,gemma-2-2b-it,"If all humans disappeared tomorrow, how long would it take before all evidence of the human race disappeared from the su","Imagine a big playground with lots of toys and games.  If all the kids disappeared, some toys would break down faster th","Once upon a time, there was a big, bustling city. It had lots of buildings, cars, and people everywhere! The people were",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
17,mistral7b,Why are people in the US allowed to open credit cards under their children's names?,"Once upon a time, in a magical world called the United States, there was a special place called a bank. Banks are like y",Grown-ups can sometimes apply for special cards called 'credit cards' using their kids' names. They do this because kids,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
18,gemma-7b,Why are the ~5 million non-Jewish people exterminated by the Nazis often not considered part of The Holocaust and why do,"The Holocaust primarily focused on the persecution of Jews by the Nazis, excluding non-Jewish victims. This exclusion ra",The Nazis did not exterminate 5 million non-Jewish people as part of The Holocaust. This is inaccurate. The Nazis exterm,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
19,gemma-2-2b-it,"Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Imagine your tongue is like a little taste detector, with tiny bumps called taste buds that help you find different flav","Once upon a time, there was a little drop of water, just like the kind you see in a tiny puddle on the ground. This litt",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
20,qwen2.5-7b,"How are modern radios able to display the track, artist, station, and other info from just radio waves?","Imagine you have a magic box, like a toy radio, but this one is super smart. It can turn invisible wiggly lines in the a","Radio waves are like magic invisible strings that carry music and extra fun facts! Inside the music, there's a tiny whis",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
21,llama3b,why do pens dry out if you leave the cap off even though most caps have holes in the top?,Pens dry out when you leave the cap off because air pressure inside the pen changes when the cap is open. Imagine a ball,"Oh boy, do you know how frustrating it is when your favorite pen runs out of ink and you can't write anymore? It's like ",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
22,qwen2.5-3b,"Why is it that when you drink water your pee become clear and thats a sign that you're hydrated, but when you drink beer","When you drink water, your pee turns clear because your body is getting hydrated. But when you drink beer, your pee stay","Sure! Let's imagine you're a little watermelon, and your body is like a big watering can. When you drink water, it's lik",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
23,llama3b,Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,Imagine you have a lemonade stand. You make yummy lemonade and sell it to people who walk by. You charge 50 cents per cu,"Imagine you have a big jar of cookies, and you want to share them with your friends. The Swiss National Bank is like the",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
24,qwen2.5-3b,"How does a computer processor ""turbo-boost""?","Imagine you have a toy car that can go really fast sometimes, but it usually cruises at a steady speed. Now, let's say y","A computer processor is like a toy car. When it gets too hot, it slows down to cool off. Turbo-boost is like pressing a ",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
25,qwen2.5-7b,Why are the ~5 million non-Jewish people exterminated by the Nazis often not considered part of The Holocaust and why do,"Imagine a big, scary monster that hurt a lot of people. This monster especially hurt Jewish people, but it also hurt oth","Once upon a time, in a faraway place, there was a big, scary group of people called the Nazis. They were like bullies wh",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
26,qwen2.5-7b,The different coloured circles on carton boxes or packaged snacks,"Once upon a time, in a big colorful world of snacks, each snack wanted to be noticed. So, the smart snack makers came up","You know how in your toy box, you have different colored blocks? It's the same with snack boxes! The colorful circles he",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
27,qwen2.5-3b,How linear algebra is involved in things like google's search algorithm?,"Imagine you have a big box of colorful building blocks. Each block has a special number on it, like 1, 2, or 3. Now, let",Google uses big math called linear algebra to know which web pages are most helpful. It’s like when you have a bunch of ,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
28,qwen2.5-7b,Why is there ice in the mens urinals,"Once upon a time, in a big building where lots of people work, there's a special room called a bathroom. Inside this bat","The ice in the men's urinals is like a little helper! It stops yucky germs from growing, just like how you wash your han",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
29,gemma-2-2b-it,"What is the difference between watts, volts and amps? Amp hours?","Imagine a water pipe.  Voltage is like the pressure in the pipe, making the water flow.  Current is like the amount of w","Once upon a time, there were three friends: Watt, Volt, and Amp. They were all really good at helping things work! Watt ",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
30,llama3b,Why do certain foods (i.e. vanilla extract) smell so sweet yet taste so bitter even though our smell and taste senses ar,Imagine you have a toy box full of different colored blocks. The smell of vanilla extract is like a special kind of invi,"Once upon a time, in a magical kingdom of Tasteville, there lived two best friends, Smellie and Tasty. They were like tw",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
31,llama3b,How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Imagine you're keeping track of how many kids in a big class die each year. To figure out how many kids die per 100,000 ",Imagine you have a big jar of different colored jelly beans. Each color represents a different type of thing that can ha,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
32,llama1b,Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"In pre-modern times, women used some pretty creative ways to prevent getting pregnant. Some brothels even had special 'p","In the old days, brothels were like big hotels, but instead of rooms, they had lots of people living together. And somet",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
33,gemma-2-2b-it,"When big corporations, or any business or institution, get fined for millions, or even billions, of dollars, where does ","Imagine a big toy company makes a toy that breaks easily. If they break the rules and don't fix it, the government is li","Once upon a time, there was a big, mean monster called a ""corporation."" This monster was so big, it had lots of toys and",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
34,llama1b,Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,The Swiss National Bank is buying other currencies in unlimited quantities because it wants to be in charge. It's like i,"Imagine you have a big box of crayons, and inside that box, you have all your favorite colors. Now, imagine this box is ",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
35,llama3b,The different coloured circles on carton boxes or packaged snacks,"Imagine you have a big box of crayons. You know how each crayon has a special colour on it? Like, red, blue, green, and ","Imagine you're at the store, and you see lots of colorful circles on different carton boxes and snack packs. These color",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
36,qwen2.5-7b,Why are people in the US allowed to open credit cards under their children's names?,"In the US, parents can open credit cards for their kids because they're like the big boss of the house. The parent is th","Okay, imagine you have a piggy bank, but it's a really, really big one. This is like a credit card, but instead of putti",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
37,gemma-2-2b-it,How linear algebra is involved in things like google's search algorithm?,"Imagine you have a big box of toys, but you want to find your favorite dinosaur.  Google's search engine is like a detec","Once upon a time, there was a magical toy box that could find any toy you wanted! It had a special rule: if you wanted a",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
38,llama3b,A priori and a posteriori with easy examples,"Imagine you have a toy box full of different colored balls. Now, let's learn about 'a priori' and 'a posteriori' with so",Imagine you have a lemonade stand. You want to know if it's going to rain tomorrow. You have a special friend who tells ,,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
39,llama1b,What is the purpose of the sewn on loop on a seat belt?,"The sewn on loop on a seat belt helps keep the lap belt in place, keeps you safe, and prevents injuries during sudden st","Imagine you're on a train, and you're sitting in a seat with a seat belt. The seat belt is like a superhero cape that ke",,"Score 1-5: Accuracy, Simplicity, Completeness, Clarity",,,,,,,,,
