correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
8,4,6,5,"The generated answer is factually accurate in stating that the Swiss National Bank has not announced plans to buy all other currencies in unlimited quantities, but it lacks completeness and simplicity in explaining the context and purpose of the bank's intervention in foreign exchange markets.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,The Swiss National Bank (SNB) has not announced plans to buy all other currencies in unlimited quantities. They mainly u,9408
2,1,8,3,"The generated answer fails to accurately describe the process of making over-caffeinated coffee, instead focusing on the effects of caffeine and its consumption, while only partially explaining the concept in a simple manner.",How is over-caffeinated coffee made?,Caffeine is a stimulant that can make you feel very energetic and alert. It's like putting a rocket fuel in your brain. ,13545
8,6,9,8,"The generated answer is mostly correct and easy to understand, but lacks specific details about glycemic spikes and the body's processing of unhealthy ingredients, making it less complete than the reference answer.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","If you eat a lot of unhealthy food called 'shitfood', it's more harmful if you eat it all on Sundays and Saturdays, comp",27527
8,6,7,7,"The generated answer is mostly correct and easy to understand, but lacks the depth and nuance of the reference answer, particularly in explaining the relationship between math and science.","Why does abstract math have so much history and application to computing, but computers are so new?","Abstract math has a long history because it has many uses in different fields, including computing. It's like building b",4866
8,6,4,6,"The generated answer is factually accurate but lacks simplicity and clarity, and does not fully cover key points from the reference answer, such as the impact of cylinder aspect ratio and engine displacement on power output.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,Engineers can get different amounts of horsepower out of engines that have the same number of cylinders by changing the ,25847
8,6,7,7,"The generated answer is factually accurate and provides some relevant information, but lacks completeness and simplicity in explaining the issue and potential solutions in a clear and concise manner for a novice audience.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,The high unemployment rate for teens and young adults in the US is a serious problem. There are many factors that contri,12540
2,1,8,3,"The generated answer is incorrect and incomplete because it introduces a fictional purpose of the sewn-on loop and fails to mention the actual purposes of preventing rattling and sliding, despite using simple language and analogies.",What is the purpose of the sewn on loop on a seat belt?,The sewn-on loop on a seat belt is like a little handle that makes it super easy to put the seat belt on. It's shaped an,5816
8,6,4,6,"The generated answer is factually accurate but lacks simplicity and clarity, and does not fully cover the key points in the reference answer, such as the comparison to human oral hygiene habits.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","The mouths of wild animals like bears, wolves, and lions, have a much higher concentration of bacteria than humans, whic",6411
6,4,5,5,"The generated answer lacks key points from the reference, such as the importance of habit and reinforcement of good behavior, and introduces potentially misleading physiological explanations.","Why do dogs drink out of the toilet, even though you give them fresh water?","Dogs have similar water balance mechanisms to humans, so they drink water that is similar to their urine. Sometimes, if ",7965
8,6,7,7,"The generated answer is mostly correct and easy to understand, but lacks completeness in explaining the mechanism of stimulants and introduces unrelated information about diet and exercise.",How do zero calorie energy drinks work?,"Zero-calorie energy drinks have a secret ingredient that makes you feel more awake and energized. It's caffeine, like th",2782
8,6,4,6,"The generated answer provides some correct technical reasons for the poor sound quality at drive-throughs but lacks simplicity and clarity, and does not fully capture the reference's practical perspective on the issue.",Why is the sound quality at a drive through so bad?,The sound quality at a drive-through is bad because of two main factors: road noise and wind noise. They combine to crea,17821
8,6,7,7,"The generated answer is mostly correct and easy to understand, but lacks completeness in covering key points from the reference, such as the target market of businesses and the shift to subscription-based pricing.",why are adobe products so expensive?,Adobe products are expensive because they offer a lot of features and functionalities that influence their cost. They al,1461
8,6,4,6,"The generated answer is factually accurate but lacks simplicity and clarity, using complex terms like osmosis and taste receptors without adequate explanation, and fails to fully cover the reference's points about expectation and body's preference for sugar.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Water tastes delicious and refreshing because the water molecules interact with taste receptors on your tongue, activati",19135
6,7,8,7,"The generated answer provides a simplified explanation with analogies, but lacks precise factual accuracy and completeness in covering key points like the relationship between volts, amps, and watts, and the concept of voltage as potential energy.","What is the difference between watts, volts and amps? Amp hours?","In the world of electricity, there are four important terms: watts, volts, amps, and amp hours. Let's see what they mean",5483
8,6,9,7,"The generated answer is mostly correct, provides a good analogy, and is simple to understand, but lacks completeness in addressing the literal interpretation and specific examples from the reference answer.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Time statistics are like counting toys in a box. To calculate time statistics, you first need to choose a time interval,",6140
8,7,6,7,"The generated answer is mostly correct but lacks simplicity and clarity, and does not fully cover the key point that testimony given freely under false pretenses is fair game.",Are undercover cops not a violation of the 5th amendment?,"The 5th Amendment protects against unreasonable search and seizure and self-incrimination, but it does not explicitly pr",25797
8,6,7,7,"The generated answer is mostly correct and easy to understand, but lacks specific details about herbal remedies like Pennyroyal mentioned in the reference answer.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"In pre-modern times, there was very little birth control used at brothels. It was rare to find effective methods, and th",795
2,1,1,1,"The generated answer is factually incorrect and completely misses the point of why ice is in men's urinals, instead providing a scientifically accurate but irrelevant explanation of ice formation.",Why is there ice in the mens urinals,There is ice in the mens urinals because the water molecules slow down and arrange themselves in a crystalline structure,2054
8,6,7,7,"The generated answer is mostly correct and simple, but lacks completeness in covering key points like muscular changes and lifestyle adjustments mentioned in the reference answer.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"When a woman has a pregnancy, her body goes through many changes, including hormonal changes that cause her to gain weig",10969
1,1,1,1,"The generated answer failed to provide any explanation, resulting in a complete lack of correctness, completeness, and simplicity.",A priori and a posteriori with easy examples,"Sorry, I couldn't generate an explanation.",8816
6,4,7,5,"The generated answer lacks specific historical context and key points from the reference, such as the Cold War and McCarthy's influence, but maintains simplicity and some factual accuracy.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?","The founding fathers established the American government based on principles of religious freedom, like the First Amendm",29068
8,6,7,7,"The generated answer is mostly correct but lacks completeness in explaining the specific role of the ball in creating variations in pitch and the trilling sound, and uses somewhat complex language that may not be fully suitable for an ELI5 explanation.",What does the little ball inside a whistle do?,"A little ball inside a whistle vibrates against the whistle's wall, creating air disturbances. These disturbances travel",2906
2,1,8,4,"The generated answer is mostly incorrect and incomplete as it doesn't relate to the actual purpose of colored circles on carton boxes, which is for printing quality control, but it does use simple language and analogies.",The different coloured circles on carton boxes or packaged snacks,The different coloured circles on carton boxes or packaged snacks are like tiny flags that help people find the things t,4985
8,6,7,7,The generated answer is mostly correct but introduces unnecessary complexity and lacks a clear explanation of the different governmental agencies regulating food and alcohol.,Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,Alcoholic beverages don't have nutrition facts printed on them because they are not regulated by the same laws as food. ,10216
8,6,4,6,"The generated answer is mostly factually accurate but lacks simplicity and clarity, and does not fully cover the key points in the reference answer, such as the importance of curating well-fed and mutually compatible species.",How come in aquariums the predators don’t gobble up the prey? Are they trained not to do so?,"In aquariums, the controlled environment and limited food availability create unique conditions that influence predator-",11568
8,6,9,7,"The generated answer is mostly correct and easy to understand, but lacks completeness in addressing the role of news agencies as businesses and societal preferences in shaping news headlines.","What is the reason for news headlines that say ""N people died in the [traumatic event], including M women and children.""",News headlines often use the phrase 'including M women and children' to emphasize the vulnerability of specific groups w,29740
6,4,8,6,"The generated answer is creative and easy to understand, but lacks factual accuracy and completeness in explaining the technical process of encoding and decoding data in radio signals.","How are modern radios able to display the track, artist, station, and other info from just radio waves?","Modern radios can display track, artist, station, and other information from just radio waves because they have the abil",18831
1,1,1,1,"The generated answer failed to provide any explanation, resulting in a complete lack of correctness, completeness, and simplicity.",How linear algebra is involved in things like google's search algorithm?,"Sorry, I couldn't generate an explanation.",21644
8,6,9,8,"The generated answer is mostly correct, complete in some aspects, and explains time in a simple and clear manner, but lacks coverage of key points like the arrow of time and cause-and-effect relationships.",How does time exist? How is it not just a construct of humans and their need to measure their existence?,"Time is like a big, invisible river that flows from the past to the future. It's like a toy car racing on a track, and w",24777
2,1,6,3,"The generated answer lacks factual accuracy and completeness, but attempts to use simple analogies, although they are not relevant to the actual process of opening a school.",How do you go about opening/starting a school,"Opening a school is like building a giant toy box. To open a school, you need to follow lots of rules and do a lot of wo",11608
6,4,5,5,"The generated answer introduces a plausible mechanism involving mucous membranes and chemical signals, but it lacks the reference's mention of brain shocks, concussions, and the uncertainty of the exact cause, while also using complex terminology that may not be suitable for an ELI5 explanation.",why do you always get a distinct feeling/smell/ thing when you get struck in the nose or face?,"When you get struck in the nose or face, it irritates the mucous membranes in your nose or face, which causes the releas",1546
