correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
6,4,8,6,"The generated answer uses a simple and clear analogy, but lacks key details from the reference, such as the specific cap on the Swiss Franc's value and the impact of a strong currency on exports.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Imagine you have a big jar of cookies, and you want to share them with your friends. The Swiss National Bank is like the",9408
2,1,8,3,"The generated answer lacks factual accuracy and completeness, failing to address the process of adding caffeine to coffee beans, but uses simple language and analogies suitable for a novice.",How is over-caffeinated coffee made?,"Imagine you have a toy that makes yummy coffee, but sometimes it makes too much coffee and it's super bitter! To make th",13545
8,6,9,8,"The generated answer is mostly correct, easy to understand, and uses a good analogy, but lacks completeness in explaining the glycemic spike and the body's processing of unhealthy ingredients.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Imagine you have a big box of candy, and you eat it all on one day (like Sunday). That's like eating all the bad stuff f",27527
9,8,9,9,"The generated answer accurately explains the connection between abstract math and computing, using simple language and good analogies, while covering key points from the reference answer.","Why does abstract math have so much history and application to computing, but computers are so new?","Computers are new, but they use old math! A long time ago, people in ancient civilizations used math to describe shapes ",4866
6,4,8,6,"The generated answer uses a simple and engaging analogy, but lacks key details and factual accuracy compared to the reference answer, resulting in moderate scores across the evaluation criteria.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,Imagine you have a toy box with different colored blocks inside. Each block represents a cylinder in an engine. To make ,25847
6,4,8,6,"The generated answer provides some correct information and uses a good analogy, but lacks completeness and factual accuracy in certain aspects, such as the unemployment rate and the role of government in influencing employment.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"The unemployment rate for teens and young adults in the US is around 10%, which is higher than the national average. Thi",12540
2,1,8,3,"The generated answer lacks factual accuracy and completeness, introducing incorrect and unrelated concepts, despite using simple language and a clear analogy.",What is the purpose of the sewn on loop on a seat belt?,Imagine you're playing a game of tug-of-war with your friends. The sewn-on loop on a seat belt is like a special tool th,5816
8,6,9,8,"The generated answer is mostly correct, easy to understand, and uses a good analogy, but lacks completeness in explaining the role of oral hygiene in wild animals' bad breath.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?",Wild animals like bears and wolves have a special group of tiny friends called microorganisms in their mouths. These fri,6411
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference, such as the importance of habit and reinforcement of good behavior, and introduces potentially misleading information about dogs seeing humans drinking from the toilet.","Why do dogs drink out of the toilet, even though you give them fresh water?",Dogs like drinking from toilets because it's easy and fun. Sometimes they like it because it's near their food and water,7965
6,4,8,6,"The generated answer partially explains how zero-calorie energy drinks work but lacks key points from the reference, such as the role of stimulants like caffeine, and introduces unrelated concepts like a balanced diet and exercise.",How do zero calorie energy drinks work?,Zero-calorie energy drinks work like a special kind of trick. They use super sweet helpers like aspartame or sucralose t,2782
6,4,8,6,"The generated answer introduces some accurate concepts but also includes unrelated or overly complex information, such as sound-absorbing panels and special materials, which detracts from its overall correctness and completeness in addressing the simple question about drive-through sound quality.",Why is the sound quality at a drive through so bad?,Imagine you're at a car wash and you can barely hear the person talking to you because of all the water and soap flying ,17821
8,4,9,6,"The generated answer is mostly factually correct, easy to understand, and uses a good analogy, but lacks completeness in covering key points from the reference answer, such as the target market and reputation of Adobe products.",why are adobe products so expensive?,Adobe products are expensive because they use a special way of pricing called a subscription model. It's like renting a ,1461
6,4,8,6,"The generated answer is creative and uses simple language, but it lacks factual accuracy and completeness in explaining why watered-down drinks taste disgusting, relying on analogies that don't fully capture the essence of the reference answers.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Water is yummy because it has special friends like pH, temperature, and tiny bubbles that make it taste fresh and clean.",19135
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the relationship between volts, amps, and watts, and oversimplifies the concept of amp hours.","What is the difference between watts, volts and amps? Amp hours?",Imagine you have a toy car that runs on batteries. Watts (W) are like the car's speed - how fast it goes. Volts (V) are ,5483
8,7,9,8,"The generated answer is mostly accurate, complete, and easy to understand, but lacks a clear explanation of the time interval used for sampling and contains some minor simplifications.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Imagine you're keeping track of how many kids in a big class die each year. To figure out how many kids die per 100,000 ",6140
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but introduces an unnecessary mention of the First Amendment, which slightly detracts from its overall quality.",Are undercover cops not a violation of the 5th amendment?,Imagine you have a toy box full of your favorite blocks. The 5th Amendment is like a special rule that says you can't be,25797
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but introduces some information not present in the reference, such as the use of condoms made from animal intestines and calendars to track fertility.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"Imagine you're in a big house with lots of rooms, and each room is like a brothel. A long time ago, women in these house",795
2,2,8,3,"The generated answer is creative and simple, but it completely misses the actual reason for ice in men's urinals, which is to reduce odor and aid in flushing, instead providing an unrelated explanation about pipes freezing.",Why is there ice in the mens urinals,"Imagine you have a toy water gun that's full of cold water. If you leave it outside in the snow, what happens? It freeze",2054
8,6,9,8,"The generated answer is mostly correct, complete in its simplicity, and of high ELI5 quality, but lacks some key points from the reference answer, such as lifestyle changes and muscular effects.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"Imagine your body is a toy box. When you're pregnant, it's like a big box gets filled with new toys (hormones and fat). ",10969
8,6,9,8,"The generated answer is mostly correct, provides a good analogy, and is easy to understand, but lacks completeness in covering key points from the reference answer, such as the example of President Trump.",A priori and a posteriori with easy examples,"Imagine you have a toy box full of different colored balls. Now, let's learn about 'a priori' and 'a posteriori' with so",8816
6,4,8,6,"The generated answer lacks factual accuracy and completeness in covering key points from the reference, but it excels in simplicity and clarity, making it easier for a novice to understand the general concept.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?",Imagine you're playing a big game of tag with your friends. The Second Great Awakening was like a big shout-out from the,29068
6,4,8,6,"The generated answer is engaging and easy to understand, but it contains some inaccuracies and omits key points from the reference, such as the ball's role in creating pitch variations and the fact that a whistle can still work without the ball.",What does the little ball inside a whistle do?,"Imagine you have a toy that makes a high-pitched sound when you blow into it. Now, imagine that inside the toy, there's ",2906
2,1,8,3,"The generated answer lacks factual accuracy and completeness regarding the purpose of colored circles on carton boxes, but it uses simple language and analogies to discuss a related topic.",The different coloured circles on carton boxes or packaged snacks,"Imagine you're at the store, and you see lots of colorful circles on different carton boxes and snack packs. These color",4985
6,4,7,5,"The generated answer contains some accurate information but also introduces unrelated points and lacks clarity on the primary reason for the exemption, which is the different governmental agency regulation.",Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,Beer doesn't have to have nutrition facts printed on it because the FDA thinks of it as a 'food product' but not a 'nutr,10216
8,6,9,8,"The generated answer is mostly correct, easy to understand, and uses a good analogy, but lacks completeness in explaining the curation of the aquarium and compatibility of species.",How come in aquariums the predators don’t gobble up the prey? Are they trained not to do so?,"Imagine you're at a pet store with lots of toys, and you're playing with your favorite toy. Now imagine you're in a big ",11568
8,6,9,7,"The generated answer is mostly correct, easy to understand, and uses a good analogy, but lacks completeness in addressing the reference's points about news agencies being businesses and societal preferences influencing news coverage.","What is the reason for news headlines that say ""N people died in the [traumatic event], including M women and children.""",Imagine you're playing a game with your friends where you have to share a sad news about a big accident. If you just say,29740
1,1,1,1,"The generated answer failed to provide any explanation, resulting in low scores across all evaluation criteria.","How are modern radios able to display the track, artist, station, and other info from just radio waves?","Sorry, I couldn't generate an explanation.",18831
8,6,9,8,"The generated answer accurately conveys the involvement of linear algebra in Google's search algorithm, using a simple and clear analogy, but lacks some key details and technical precision found in the reference answer.",How linear algebra is involved in things like google's search algorithm?,"Imagine you have a big box of toys, and each toy represents a webpage. Google's search algorithm uses a special kind of ",21644
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference, such as the concept of cause and effect and the accumulation of events over time, which reduces its correctness and completeness.",How does time exist? How is it not just a construct of humans and their need to measure their existence?,Time is like a big puzzle with many pieces that scientists and thinkers are still trying to figure out. Imagine you have,24777
8,6,9,8,"The generated answer is mostly correct, complete in covering key points, and of high ELI5 quality, but lacks specific details about legal requirements and accreditation organizations mentioned in the reference answer.",How do you go about opening/starting a school,"Starting a school is like building a big Lego castle! First, you need to figure out who you're building it for (your tar",11608
6,4,8,6,"The generated answer is simple and easy to understand but lacks factual accuracy and completeness compared to the reference answer, which mentions the potential cause of the sensation being related to shocks to the brain and the importance of checking for concussions.",why do you always get a distinct feeling/smell/ thing when you get struck in the nose or face?,"When you get hit in the nose or face, you might feel or smell something special. This is because your nose has tiny help",1546
2,2,8,4,"The generated answer contains incorrect information and hallucinations about the legality of opening credit cards in a child's name, but it does use simple language and a clear analogy to explain a related concept.",Why are people in the US allowed to open credit cards under their children's names?,"In the US, parents or guardians can open a credit card in a child's name because of special laws that help protect kids.",28007
4,2,6,4,"The generated answer lacks factual accuracy and completeness, but attempts to use simple language and an analogy, although it fails to accurately represent the reasons for the difference in packaging between the USA and Mexico.",why does the USA sell plastic bottles of Coke and Pepsi. But my local Mexican market sells it in glass?,"Imagine you have a lemonade stand. You want to sell lemonade in bottles, but your friend wants to sell it in different t",21065
8,7,9,8,"The generated answer is mostly correct, covers key points, and uses good analogies, but lacks a clear and concise explanation of the pressure increase due to temperature, which is present in the reference answer.",How airplane jet engines work,"Imagine you have a super powerful fan that blows air really, really fast! That's kind of like what a jet engine does, bu",28407
8,6,9,8,"The generated answer is mostly correct, uses a good analogy, and is simple and clear, but lacks some key points from the reference, such as the internal clock and specific details about CPU monitoring and heat management.","How does a computer processor ""turbo-boost""?","Imagine you have a toy car that can go really fast. Turbo-boosting is like giving the car a special boost of speed, but ",1672
6,4,8,6,"The generated answer uses a simple and clear analogy but lacks factual accuracy and completeness in explaining where the fines go, particularly in relation to lawsuits and government bureaucracy fines.","When big corporations, or any business or institution, get fined for millions, or even billions, of dollars, where does ",Imagine a big jar of cookies that the government gets when a big corporation gets in trouble. The fine is like putting t,21751
