correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
6,4,8,6,"The generated answer uses a creative and simple analogy but lacks key details about the Swiss Franc being too strong and the impact on exports, resulting in a moderately correct and incomplete explanation.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Once upon a time, in a magical land called Switzerland, there was a very important bank called the Swiss National Bank. ",9408
2,1,8,3,"The generated answer is highly imaginative and engaging, but it completely misses the factual accuracy and key points of the reference answer, instead providing a fictional story with no relation to the actual process of making over-caffeinated coffee.",How is over-caffeinated coffee made?,"Once upon a time, in a magical coffee shop, there lived a friendly coffee plant. This plant loved to drink water and gro",13545
2,2,8,4,"The generated answer, while creative and simple in language, lacks factual accuracy and fails to cover key points from the reference, such as the glycemic spike and the body's processing of nasty ingredients.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Once upon a time, in a land far, far away, there lived a little mouse named Mini. Mini loved to eat yummy cheese, but on",27527
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a direct explanation of how math laid the groundwork for science and computing, instead using a narrative approach to convey the idea.","Why does abstract math have so much history and application to computing, but computers are so new?","Once upon a time, in a land far, far away, there was a magical kingdom called Mathland. Mathland was full of all sorts o",4866
4,2,8,4,"The generated answer is creative and engaging, but lacks factual accuracy and completeness, oversimplifying the complex relationship between engine design and horsepower.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,"Once upon a time, in a land of big machines, there lived a group of clever engineers called the Engine Wizards. They had",25847
6,4,8,6,"The generated answer uses simple language and good analogies to explain the concept, but lacks factual accuracy and completeness in covering key points from the reference answer.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"Once upon a time, in a land called America, there were many young people who wanted to work and earn money. These young ",12540
2,2,8,4,"The generated answer is engaging and simple, but lacks factual accuracy and completeness, failing to mention the loop's purpose in stopping the buckle from rattling or sliding down.",What is the purpose of the sewn on loop on a seat belt?,"Once upon a time, in a land of big cars, there lived a brave little seat belt. This seat belt was a superhero, always re",5816
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to address the actual reason for the bad smell, which is the presence of food particles between their teeth, but it does use simple language and engaging analogies to explain a related concept.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Once upon a time, in a big forest, there lived many wild animals like bears, wolves, and lions. They all had big, strong",6411
2,4,6,4,"The generated answer, while attempting to explain the concept in a simple story, lacks factual accuracy, fails to cover key points from the reference, and includes repetitive and unnecessary content.","Why do dogs drink out of the toilet, even though you give them fresh water?","Once upon a time, in a cozy house with a friendly family, there was a curious little dog named Buddy. Buddy loved to exp",7965
2,2,8,3,"The generated answer lacks factual accuracy and completeness, relying heavily on imaginative storytelling rather than explaining the actual mechanism of zero-calorie energy drinks like the reference answer does.",How do zero calorie energy drinks work?,"Once upon a time, in a land filled with fizzy drinks, there lived a special kind of drink called zero calorie energy dri",2782
6,4,8,6,"The generated answer is creative and uses simple language, but it introduces unnecessary elements and doesn't fully address the reference answer's point about the lack of incentive to improve sound quality.",Why is the sound quality at a drive through so bad?,"Once upon a time, there was a big line of cars at the drive-through window. It was like a long line of toy cars all line",17821
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference, such as Adobe's target market and pricing strategy, and contains some simplistic and inaccurate analogies.",why are adobe products so expensive?,"Once upon a time, there was a big company called Adobe that made very special tools for people who love to make pictures",1461
6,4,8,6,"The generated answer uses creative and simple language to explain the concept, but lacks factual accuracy and completeness in covering key points from the reference answer, such as the role of sugar and the body's expectations.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Once upon a time, in a magical land called Waterland, there lived a special ingredient called Water. Water was the most ",19135
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the relationship between volts, amps, and watts, and oversimplifies the concept of amp hours.","What is the difference between watts, volts and amps? Amp hours?","Once upon a time, in a magical land called Electricity, there lived three special friends: Watts, Volts, and Amps. They ",5483
6,7,9,7,"The generated answer is creative and easy to understand, but lacks direct factual accuracy and completeness in explaining the calculation of time statistics, relying heavily on analogies that may not fully capture the complexity of the topic.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Once upon a time, in a land far, far away, there was a magical clock tower. This clock tower was super special because i",6140
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of how the 5th amendment applies to undercover cops, making it slightly incomplete.",Are undercover cops not a violation of the 5th amendment?,"Once upon a time, in a big city, there were some special police officers called undercover cops. They were like secret a",25797
2,2,8,3,"The generated answer lacks factual accuracy and completeness, introducing incorrect and anachronistic methods of birth control like copper coils and morning-after pills, while failing to mention known historical methods like herbs.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"Imagine you have a big box of colorful building blocks. Each block represents a baby. Now, in the old days, before we ha",795
2,2,8,4,"The generated answer is creative and uses simple language with good analogies, but it lacks factual accuracy and completeness, introducing hallucinations and failing to mention the actual purpose of ice in urinals, such as reducing odor and producing water for flushing.",Why is there ice in the mens urinals,"Once upon a time, in a bathroom where big boys go to pee, there was a special trick to make sure the pee goes where it's",2054
2,2,8,4,"The generated answer uses a creative and simple analogy, but lacks factual accuracy and completeness in explaining the hormonal and lifestyle changes that lead to weight gain after pregnancy.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"Once upon a time, in a world where all the girls had big, fluffy bunnies, there lived a bunny named Bella. Bella was ver",10969
8,6,9,7,"The generated answer is creative and easy to understand, but lacks direct examples and clear explanations of a priori and a posteriori concepts as provided in the reference answer.",A priori and a posteriori with easy examples,"Once upon a time, in a magical land called Knowledgeville, there lived two curious friends named A Priori and A Posterio",8816
2,2,8,3,"The generated answer lacks factual accuracy and completeness, failing to address the historical context and specific events that led to America being perceived as a 'Christian' nation, despite successfully using simple language and analogies to explain complex concepts.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?","Once upon a time, in a land far away called America, there was a group of people who decided they wanted to start a new ",29068
2,2,8,4,"The generated answer is engaging and simple, but lacks factual accuracy and completeness in explaining the purpose of the little ball inside a whistle.",What does the little ball inside a whistle do?,"Once upon a time, there was a magical whistle that could make a loud and fun sound. Inside this whistle, there was a tin",2906
2,1,8,3,"The generated answer is creative and engaging, but it completely misses the actual purpose of the colored circles on carton boxes, which is to indicate the colors used in printing, not to identify the contents of the package.",The different coloured circles on carton boxes or packaged snacks,"Once upon a time, in a land of colorful candies, there were many different types of candies that were all wrapped up nic",4985
2,2,8,4,"The generated answer is engaging and simple, but lacks factual accuracy and completeness, as it fails to mention the actual reason for the absence of nutrition facts on alcoholic beverages, which is the different governmental agency regulation.",Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,"Once upon a time, in a land of yummy drinks, there were two types of tasty liquids: juice and juice with a tiny bit of s",10216
