sample_id,model,question_id,answer_A_source,answer_B_source,baseline_correctness,agent_correctness,baseline_completeness,agent_completeness
1,gemma-7b,7965,multi-agent,baseline,2,6,1,4
2,llama1b,4195,baseline,multi-agent,2,6,4,4
3,qwen2.5-3b,27527,baseline,multi-agent,2,8,2,6
4,gemma-7b,21088,baseline,multi-agent,6,6,4,4
5,gemma-7b,795,multi-agent,baseline,4,8,2,6
6,llama3b,25847,multi-agent,baseline,6,6,4,4
7,gemma-2-2b-it,17350,multi-agent,baseline,2,4,2,2
8,qwen2.5-7b,5816,baseline,multi-agent,6,6,4,4
9,gemma-7b,27527,baseline,multi-agent,6,8,4,6
10,gemma-7b,15928,baseline,multi-agent,2,2,1,1
11,qwen2.5-3b,9408,baseline,multi-agent,6,8,4,6
12,llama1b,1672,multi-agent,baseline,2,2,2,1
13,llama3b,5816,baseline,multi-agent,2,2,2,1
14,llama1b,18766,baseline,multi-agent,6,6,4,4
15,llama1b,21065,multi-agent,baseline,2,2,1,2
16,gemma-2-2b-it,25548,multi-agent,baseline,4,8,2,6
17,mistral7b,28007,baseline,multi-agent,2,2,2,4
18,gemma-7b,18766,multi-agent,baseline,6,8,4,4
19,gemma-2-2b-it,19135,multi-agent,baseline,2,6,2,4
20,qwen2.5-7b,18831,baseline,multi-agent,8,8,6,6
21,llama3b,12405,multi-agent,baseline,6,6,4,4
22,qwen2.5-3b,4195,multi-agent,baseline,6,8,4,6
23,llama3b,9408,baseline,multi-agent,8,6,7,4
24,qwen2.5-3b,1672,baseline,multi-agent,8,4,6,6
25,qwen2.5-7b,18766,multi-agent,baseline,6,8,4,6
26,qwen2.5-7b,4985,baseline,multi-agent,2,2,1,1
27,qwen2.5-3b,21644,baseline,multi-agent,8,8,6,6
28,qwen2.5-7b,2054,baseline,multi-agent,2,2,2,2
29,gemma-2-2b-it,5483,multi-agent,baseline,6,8,7,6
30,llama3b,12747,multi-agent,baseline,6,6,4,4
31,llama3b,6140,multi-agent,baseline,8,8,7,7
32,llama1b,795,multi-agent,baseline,2,4,2,6
33,gemma-2-2b-it,21751,multi-agent,baseline,6,6,4,4
34,llama1b,9408,multi-agent,baseline,2,2,2,2
35,llama3b,4985,baseline,multi-agent,2,2,2,1
36,qwen2.5-7b,28007,multi-agent,baseline,2,2,2,2
37,gemma-2-2b-it,21644,multi-agent,baseline,2,6,2,4
38,llama3b,8816,multi-agent,baseline,6,8,4,6
39,llama1b,5816,multi-agent,baseline,2,6,1,2
40,llama3b,21088,multi-agent,baseline,6,6,4,4
41,qwen2.5-7b,13545,multi-agent,baseline,2,2,2,1
42,gemma-7b,4195,baseline,multi-agent,8,8,6,7
43,gemma-7b,1672,baseline,multi-agent,2,8,2,6
44,llama1b,21065,baseline,multi-agent,2,2,1,2
45,llama1b,4985,baseline,multi-agent,2,2,1,1
46,gemma-7b,13545,baseline,multi-agent,2,2,1,1
47,qwen2.5-7b,19135,baseline,multi-agent,8,6,7,4
48,qwen2.5-7b,25847,baseline,multi-agent,6,2,4,2
49,gemma-7b,29068,multi-agent,baseline,6,6,2,4
50,qwen2.5-3b,11968,baseline,multi-agent,8,6,6,4
51,mistral7b,2782,baseline,multi-agent,2,8,2,6
52,mistral7b,10216,baseline,multi-agent,2,4,1,2
53,gemma-7b,5483,baseline,multi-agent,8,6,7,7
54,llama1b,4866,multi-agent,baseline,8,6,6,4
55,qwen2.5-3b,2054,multi-agent,baseline,2,2,2,1
56,gemma-7b,28407,multi-agent,baseline,8,9,7,8
57,llama3b,11608,baseline,multi-agent,6,8,4,6
58,llama3b,2054,multi-agent,baseline,2,2,2,2
59,gemma-2-2b-it,4866,baseline,multi-agent,8,8,6,6
60,gemma-2-2b-it,28007,baseline,multi-agent,2,2,1,1
61,qwen2.5-3b,21065,multi-agent,baseline,2,4,2,2
62,llama3b,5483,multi-agent,baseline,8,8,7,7
63,llama3b,1684,multi-agent,baseline,8,8,6,6
64,llama3b,4195,multi-agent,baseline,8,6,7,4
65,mistral7b,29068,multi-agent,baseline,2,6,2,4
66,llama3b,15928,multi-agent,baseline,2,2,2,1
67,mistral7b,1546,baseline,multi-agent,6,6,4,4
68,qwen2.5-3b,3210,baseline,multi-agent,6,2,4,2
69,gemma-2-2b-it,6140,baseline,multi-agent,6,8,4,6
70,mistral7b,21644,baseline,multi-agent,2,8,2,6
71,qwen2.5-3b,29740,baseline,multi-agent,8,8,6,6
72,llama3b,2906,multi-agent,baseline,2,6,2,4
73,qwen2.5-7b,21751,multi-agent,baseline,6,6,4,4
74,mistral7b,5816,baseline,multi-agent,2,2,2,1
75,gemma-2-2b-it,795,multi-agent,baseline,4,2,6,2
76,gemma-7b,21644,baseline,multi-agent,6,1,4,1
77,qwen2.5-7b,4195,multi-agent,baseline,8,8,7,6
78,gemma-2-2b-it,11608,baseline,multi-agent,2,8,1,6
79,llama1b,4195,baseline,multi-agent,2,6,4,4
80,mistral7b,7965,baseline,multi-agent,6,6,4,4
81,qwen2.5-3b,25548,multi-agent,baseline,8,8,6,6
82,gemma-2-2b-it,25797,baseline,multi-agent,8,8,6,6
83,llama3b,7965,multi-agent,baseline,6,6,4,4
84,gemma-7b,28007,multi-agent,baseline,1,1,1,2
85,gemma-7b,3210,baseline,multi-agent,6,2,4,2
86,llama3b,21751,baseline,multi-agent,6,6,4,4
87,qwen2.5-3b,10969,multi-agent,baseline,2,8,2,6
88,llama1b,7965,multi-agent,baseline,2,6,1,4
89,llama3b,25548,baseline,multi-agent,8,8,6,6
90,gemma-7b,10969,baseline,multi-agent,8,8,6,6
91,mistral7b,12747,baseline,multi-agent,6,6,4,4
92,qwen2.5-3b,1672,multi-agent,baseline,8,4,6,6
93,gemma-7b,8816,multi-agent,baseline,6,1,4,1
94,qwen2.5-7b,5483,baseline,multi-agent,9,8,8,6
95,qwen2.5-7b,21088,baseline,multi-agent,6,6,4,4
96,mistral7b,9408,baseline,multi-agent,6,8,4,6
97,llama1b,6411,multi-agent,baseline,2,6,2,4
98,llama1b,3210,multi-agent,baseline,2,1,2,1
99,qwen2.5-3b,10216,multi-agent,baseline,2,6,2,4
100,qwen2.5-3b,28007,multi-agent,baseline,2,2,2,2
101,llama1b,5483,baseline,multi-agent,8,2,7,1
102,llama1b,1672,multi-agent,baseline,2,2,2,1
103,llama3b,13545,multi-agent,baseline,2,2,2,1
104,gemma-7b,9408,multi-agent,baseline,2,8,2,4
105,qwen2.5-7b,3210,baseline,multi-agent,8,2,6,2
106,llama1b,25548,multi-agent,baseline,2,8,1,4
107,qwen2.5-3b,5483,baseline,multi-agent,8,8,7,6
108,mistral7b,13545,baseline,multi-agent,2,2,2,1
109,llama1b,8206,baseline,multi-agent,8,8,4,4
110,gemma-2-2b-it,5816,multi-agent,baseline,2,2,1,1
111,gemma-2-2b-it,1461,multi-agent,baseline,2,6,1,2
112,qwen2.5-3b,1546,baseline,multi-agent,2,2,2,2
113,gemma-2-2b-it,4195,multi-agent,baseline,2,6,4,4
114,qwen2.5-3b,11403,baseline,multi-agent,2,6,4,4
115,gemma-2-2b-it,11968,multi-agent,baseline,6,8,4,6
116,qwen2.5-7b,29740,multi-agent,baseline,2,6,2,4
117,gemma-2-2b-it,4985,baseline,multi-agent,2,2,1,1
118,qwen2.5-7b,1546,multi-agent,baseline,2,4,2,2
119,gemma-7b,5816,multi-agent,baseline,2,2,1,1
120,gemma-2-2b-it,13545,baseline,multi-agent,2,2,1,2
121,mistral7b,795,multi-agent,baseline,8,8,7,6
122,llama3b,18831,multi-agent,baseline,6,1,4,1
123,gemma-2-2b-it,21065,multi-agent,baseline,2,2,2,2
124,mistral7b,17350,multi-agent,baseline,8,6,6,4
125,gemma-2-2b-it,8816,baseline,multi-agent,6,8,4,6
126,mistral7b,18766,baseline,multi-agent,8,8,6,6
127,mistral7b,1672,baseline,multi-agent,4,8,6,6
128,qwen2.5-3b,4985,multi-agent,baseline,2,2,1,1
129,llama1b,18766,multi-agent,baseline,6,6,4,4
130,gemma-2-2b-it,15928,multi-agent,baseline,2,2,2,1
131,qwen2.5-7b,15928,baseline,multi-agent,2,2,2,2
132,qwen2.5-7b,11403,baseline,multi-agent,6,8,4,6
133,llama3b,28007,multi-agent,baseline,2,2,1,2
134,qwen2.5-7b,2782,multi-agent,baseline,6,4,4,2
135,llama1b,1684,baseline,multi-agent,8,8,6,6
136,gemma-2-2b-it,3210,baseline,multi-agent,2,6,2,4
137,qwen2.5-7b,10216,baseline,multi-agent,8,6,6,4
138,mistral7b,4985,multi-agent,baseline,2,2,2,1
139,mistral7b,2054,multi-agent,baseline,6,2,4,1
140,qwen2.5-3b,795,baseline,multi-agent,2,6,2,4
141,mistral7b,5483,baseline,multi-agent,8,8,7,6
142,gemma-7b,11608,multi-agent,baseline,8,2,6,1
143,qwen2.5-3b,13545,baseline,multi-agent,2,2,1,2
144,qwen2.5-7b,1672,multi-agent,baseline,6,8,7,6
145,llama1b,8206,baseline,multi-agent,8,8,4,4
146,gemma-7b,6140,baseline,multi-agent,8,8,7,6
147,mistral7b,4195,multi-agent,baseline,6,8,7,6
148,llama1b,2054,multi-agent,baseline,2,2,1,1
149,mistral7b,6140,baseline,multi-agent,8,8,7,6
150,mistral7b,15928,baseline,multi-agent,2,4,2,2
