correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
6,4,8,6,"The generated answer uses simple language and analogies, but lacks key points from the reference, such as the specific cap on the Swiss Franc's value and its impact on exports, resulting in a moderately correct and incomplete explanation.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Imagine you have a big piggy bank, and that's like the Swiss National Bank. Now, this piggy bank doesn't just hold your ",9408
2,2,6,3,"The generated answer lacks factual accuracy, fails to cover key points from the reference, and contains hallucinations and irrelevant information, despite using simple language and analogies.",How is over-caffeinated coffee made?,"Alright, let's imagine we're making a yummy, fizzy drink that's a bit like coffee, but way too much for a grown-up to ha",13545
8,6,9,8,"The generated answer effectively uses a simple analogy to explain the concept, but lacks direct reference to the glycemic spike and processing of nasty ingredients mentioned in the reference answer.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Imagine you have a favorite toy, but it's not the healthiest toy to play with. Let's call it ""shitfood"" because that's w",27527
8,6,9,8,"The generated answer is mostly correct, provides a good ELI5 explanation, but lacks completeness in covering the reference's point about math laying the groundwork for science and computing.","Why does abstract math have so much history and application to computing, but computers are so new?","Once upon a time, way back in the olden days, there was a clever person named Gottfried Leibniz. He really liked to play",4866
6,4,8,6,"The generated answer uses engaging analogies and simple language, but lacks factual accuracy and completeness in explaining how engineers achieve different horsepower levels without turbochargers.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,"Imagine you have a toy car that uses a little motor to make it go vroom-vroom. Now, think about having a big toy box ful",25847
8,7,9,8,"The generated answer effectively explains the unemployment rate and efforts to improve it using simple analogies, but lacks specific details about government initiatives and their limitations, as mentioned in the reference answer.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"Okay, little buddy, let's talk about something important that affects a lot of people, especially teenagers and young fo",12540
6,4,9,6,"The generated answer is engaging and simple, but lacks key points from the reference, such as the loop preventing the buckle from rattling or sliding down, and incorrectly attributes its purpose to keeping the belt snug.",What is the purpose of the sewn on loop on a seat belt?,"Okay, little buddy! Imagine you're in a car with your favorite stuffed animal. Now, when you're in the car, you need to ",5816
8,9,9,9,"The generated answer accurately and completely explains why wild animals' mouths smell bad, using simple language and effective analogies to convey the key points, although it could slightly improve by directly mentioning the lack of flossing and brushing like the reference answer.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Okay, little one, let's talk about why the mouths of wild animals can smell different from ours. Imagine you have a toy ",6411
8,7,9,8,"The generated answer is mostly correct, complete, and of high ELI5 quality, but loses points for introducing unnecessary and slightly misleading analogies, such as comparing toilet water to a favorite snack or juice.","Why do dogs drink out of the toilet, even though you give them fresh water?","Alright, little buddy, let's talk about why your furry friend, the dog, might drink from the toilet instead of the yummy",7965
6,4,8,6,"The generated answer uses engaging and simple language, but lacks factual accuracy and completeness in explaining how zero-calorie energy drinks work, particularly in regards to the role of stimulants like caffeine.",How do zero calorie energy drinks work?,"Once upon a time, in a magical land called Your Body, there was a special place called the Stomach Castle. Inside this c",2782
8,6,9,8,"The generated answer is mostly correct, provides a good ELI5 explanation, but lacks completeness in covering the reference's point about the lack of incentive to improve sound quality.",Why is the sound quality at a drive through so bad?,"Okay, little buddy, let's talk about why the sound at a drive-through is so fuzzy and hard to hear, okay? Imagine you're",17821
8,6,9,7,"The generated answer is mostly correct, provides a good analogy, and is simple to understand, but lacks completeness in covering key points from the reference answer, such as Adobe's target market and pricing strategy.",why are adobe products so expensive?,"Once upon a time, in a world filled with colorful digital toys, there was a big company called Adobe. Adobe made special",1461
8,7,9,8,"The generated answer is mostly correct, complete, and of high ELI5 quality, but lacks a clear explanation of the body's expectation of sugar levels in drinks, resulting in a slightly lower overall score.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Okay, little buddy, let's talk about why water is so yummy and refreshing, but when we mix it with other things, it can ",19135
9,8,9,9,"The generated answer accurately explains the concepts of watts, volts, amps, and amp hours using a clear and relatable water analogy, covering all key points from the reference answer.","What is the difference between watts, volts and amps? Amp hours?","Okay, let's imagine you have a big toy car. This toy car needs batteries to work, just like how a flashlight or a TV mig",5483
8,7,9,8,"The generated answer effectively uses analogies to explain time statistics, but includes excessive and distracting elements, such as numerous emojis, which detract from its overall quality and clarity.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Alright, let's imagine you have a big toy box, and every time you play with your toys, you count them. Now, imagine if w",6140
8,7,9,8,"The generated answer is mostly correct, complete, and explains the concept in a simple and clear manner, but has some minor issues with excessive repetition and slightly oversimplifies the concept of undercover cops.",Are undercover cops not a violation of the 5th amendment?,"Okay, let's imagine you have a big toy box full of different toys. Now, some of these toys are special and have rules ab",25797
6,4,8,6,"The generated answer is creative and easy to understand, but lacks factual accuracy and completeness in covering the key points from the reference, such as the use of specific herbs like Pennyroyal.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"Okay, so imagine a long, long time ago, before we had all the fancy medicines and rules we have now. In some places, the",795
2,2,8,4,"The generated answer is engaging and simple, but it lacks factual accuracy and completeness, introducing hallucinations about the purpose of ice in urinals, such as preventing pee from freezing or being a game for users.",Why is there ice in the mens urinals,"Once upon a time, in a big building where lots of people work, there's a special room called a bathroom. Inside this bat",2054
8,7,9,8,"The generated answer effectively uses simple language and engaging analogies to explain the topic, but slightly lacks in covering all key points from the reference answer, such as the specific impact of hormonal and muscular changes.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"Once upon a time, a mommy bear had a baby. After the baby was born, the mommy bear's tummy got bigger and rounder. But w",10969
8,7,9,8,"The generated answer is mostly correct, complete, and of high ELI5 quality, but has some minor issues with conciseness and relevance of examples.",A priori and a posteriori with easy examples,"Alright, little buddy! Let's talk about a fun game we can play with your toys. Imagine you have a big toy box, and you w",8816
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to address the historical context of the Cold War and McCarthy's influence, but uses simple language and analogies to explain the concept of religious freedom.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?","A long, long time ago, there was a big group of people called the Pilgrims who sailed on a ship called the Mayflower to ",29068
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but it introduces some imaginative elements and lacks specific details about the whistle's mechanism, such as the variation in pitch and the trilling sound.",What does the little ball inside a whistle do?,"Imagine you have a special toy whistle, like the one you might use to call your dog. Inside this whistle, there's a tiny",2906
2,1,8,4,"The generated answer is creative and engaging, but it completely misses the actual purpose of the colored circles on carton boxes or packaged snacks, which is related to printing and color calibration, not indicating the snack's characteristics.",The different coloured circles on carton boxes or packaged snacks,"Once upon a time, in a big colorful world of snacks, each snack wanted to be noticed. So, the smart snack makers came up",4985
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the regulatory difference between food and alcohol as stated in the reference answer.",Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,"Okay, little buddy, let's talk about beer and those funny little boxes on food that tell you about the yummy and not-so-",10216
8,7,9,8,"The generated answer is mostly factually accurate, covers key points, and uses simple language with good analogies, but lacks explicit mention of fish recognition and compatibility as mentioned in the reference answer.",How come in aquariums the predators don’t gobble up the prey? Are they trained not to do so?,"Imagine you're at a big fish tank, like the ones you see in aquariums. These tanks are like giant swimming pools filled ",11568
2,2,8,3,"The generated answer lacks factual accuracy and completeness, failing to address the underlying reasons for the specific mention of women and children in news headlines, instead relying on simplistic and unrelated analogies.","What is the reason for news headlines that say ""N people died in the [traumatic event], including M women and children.""","Once upon a time, there was a big, scary monster that attacked a small town. The monster was really big and scary, and i",29740
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks specific details about the system for encoding data in the signal, making it slightly incomplete.","How are modern radios able to display the track, artist, station, and other info from just radio waves?","Imagine you have a magic box, like a toy radio, but this one is super smart. It can turn invisible wiggly lines in the a",18831
9,8,9,9,"The generated answer accurately and creatively explains how linear algebra is involved in Google's search algorithm, using engaging analogies and simple language that a novice can understand.",How linear algebra is involved in things like google's search algorithm?,"Okay, little one, let's imagine Google is like a big, magical library. In this magical library, every book is a webpage,",21644
