correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and a clear analogy, making it somewhat easy to understand for a novice, although it fails to convey the actual reason behind the Swiss National Bank's decision.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Once upon a time, there was a big, strong castle called Switzerland. It was like a really cool playground with lots of f",9408
2,1,8,3,"The generated answer is highly imaginative and engaging, but it lacks factual accuracy and fails to cover key points from the reference, relying on fantastical elements like magic and pixie dust instead of real processes.",How is over-caffeinated coffee made?,"Once upon a time, there was a sleepy little bean. It was a brown bean, like a peanut, but much, much bigger! This bean l",13545
2,2,8,4,"The generated answer uses a simple and engaging story to explain the concept, but it lacks factual accuracy and fails to address the key points mentioned in the reference answer, such as glycemic spikes and the processing of unhealthy ingredients.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Once upon a time, there was a little bunny named Benny. Benny loved to eat carrots. He also loved to eat yummy, crunchy ",27527
8,6,9,8,"The generated answer effectively uses simple analogies to explain abstract math and its relation to computing, but lacks direct acknowledgment of math laying groundwork for science and physics as mentioned in the reference answer.","Why does abstract math have so much history and application to computing, but computers are so new?","Once upon a time, there were lots of people who loved to play with building blocks. They built towers, castles, and even",4866
4,2,8,5,"The generated answer uses engaging analogies and simple language, but lacks factual accuracy and completeness in explaining how engineers achieve different horsepower levels without adding turbochargers.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,"Once upon a time, in a land of cars, lived a clever group of engineers. They were building amazing cars with engines tha",25847
6,4,8,6,"The generated answer uses a creative and simple analogy to explain the concept of unemployment rate, but lacks factual accuracy and completeness in covering key points from the reference answer.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"Once upon a time, there was a big playground with lots of kids playing.  Some kids were really good at building sandcast",12540
2,1,8,3,"The generated answer is creative and simple, but lacks factual accuracy and completeness, failing to mention the actual purposes of the sewn-on loop, such as preventing rattling and sliding.",What is the purpose of the sewn on loop on a seat belt?,"Once upon a time, there was a little car, and it was going on an adventure!  The car was super excited to go on its trip",5816
6,4,8,6,"The generated answer is creative and easy to understand, but lacks factual accuracy and completeness in explaining why wild animals' mouths smell bad compared to humans, specifically missing the key point about oral hygiene.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Once upon a time, in the big, wild world, there were some very important things called ""mouths"". These mouths were like ",6411
4,2,8,5,"The generated answer is creative and simple, but lacks factual accuracy and completeness, failing to address the dog's habits and preferences for clean water and convenient access.","Why do dogs drink out of the toilet, even though you give them fresh water?","""Why do dogs drink out of the toilet? It's like when you want to play with your toy truck, but you have to go to the bat",7965
2,1,8,3,"The generated answer lacks factual accuracy and completeness, focusing on a fictional story rather than explaining how zero-calorie energy drinks work, but uses simple language and an engaging analogy.",How do zero calorie energy drinks work?,"Once upon a time, there was a little superhero named Zero. He loved to play games and have fun, but he also knew how imp",2782
2,1,8,3,"The generated answer is creative and uses simple language, but it lacks factual accuracy and fails to address the key point that there is no incentive to improve sound quality at drive-throughs.",Why is the sound quality at a drive through so bad?,"Once upon a time, there was a big, yummy burger place. They had the best burgers in town! But they also had a special th",17821
2,1,8,3,"The generated answer is creative and simple, but lacks factual accuracy and fails to cover key points from the reference, resulting in low correctness and completeness scores.",why are adobe products so expensive?,"Once upon a time, there was a super clever inventor named Adobe. He made amazing things like paper, crayons, and paints.",1461
2,2,8,4,"The generated answer is creative and uses a simple analogy, but it lacks factual accuracy and fails to cover key points from the reference, such as the body's expectation of sweetness and adaptation to diluted flavors.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Once upon a time, there was a little drop of water, just like the kind you see in a tiny puddle on the ground. This litt",19135
6,7,8,7,"The generated answer is mostly correct, but lacks precise technical details and uses overly simplistic analogies, while still managing to convey the basic concepts in an easy-to-understand manner.","What is the difference between watts, volts and amps? Amp hours?","Once upon a time, there were three friends: Watt, Volt, and Amp. They were all really good at helping things work! Watt ",5483
6,4,8,6,"The generated answer uses engaging analogies and simple language, but lacks factual accuracy and completeness in explaining time statistics calculation and sampling intervals.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Once upon a time, there was a big, bustling city full of lots of people, just like in your playground!  But instead of s",6140
8,6,9,7,"The generated answer is creative and easy to understand, but it lacks a clear and direct explanation of how the 5th amendment applies to undercover cops, making it incomplete and slightly reducing its overall quality.",Are undercover cops not a violation of the 5th amendment?,"Once upon a time, there was a sneaky detective named Jack. Jack was really good at finding out what people were hiding. ",25797
4,6,8,6,"The generated answer is creative and easy to understand, but lacks factual accuracy and completeness compared to the reference answer, which mentions specific herbs like Pennyroyal used for abortion.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"Once upon a time, long, long ago, there were places called brothels. They were like special shops where people could go ",795
2,1,8,3,"The generated answer is creative and simple, but it completely misses the actual reason for ice in men's urinals, providing a fictional and unrelated explanation instead.",Why is there ice in the mens urinals,"Once upon a time, in a big, busy bathroom, there was a special kind of water fountain. It wasn't like the kind you use t",2054
2,1,6,3,"The generated answer lacks factual accuracy, fails to cover key points from the reference, and although it uses simple language and analogies, it does not effectively explain why experiencing one or more pregnancies leads to long-term struggles with body weight for women.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"Once upon a time, there was a little girl named Lily who loved to play with her dolls. She had a special doll named Prin",10969
